StartDate,EndDate,Finished,RecordedDate,DistributionChannel,UserLanguage,Q3,Q6a_First Click,Q6a_Last Click,Q6a_Page Submit,Q6a_Click Count,Q7a_First Click,Q7a_Last Click,Q7a_Page Submit,Q7a_Click Count,Q8a_First Click,Q8a_Last Click,Q8a_Page Submit,Q8a_Click Count,Q9,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q36,Q36_10_TEXT,Q37,Q37_6_TEXT,Q38,Q39,Q39_7_TEXT,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q46_4_TEXT,Q47_1
Start Date,End Date,Finished,Recorded Date,Distribution Channel,User Language,Consent Confirmation,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Knowledge Check of ESG,E Pillar 1,E Pillar 2,E Pillar 3,E Pillar 4,E Pillar 5,S Pillar 1,S Pillar 2,S Pillar 3,S Pillar 4,"How often do you perceive your organization implementing corporate social interests for stakeholders (interested parties)? (Corporate social interests are related to the company's impacts on the environment, society, or its relationship with workers, and are taken into account when making decision and creating value.)",G Pillar 1,G Pillar 2,G Pillar 3,G Pillar 4,"How often do you perceive your organization implementing initiatives to improve the quality of its products, services, and processes, enhancing the company's image?",E Pillar Future,S Pillar Future,Attention Check,G Pillar Future,E Pillar Barriers,"What is the biggest barrier to increasing social pillar behaviors (either at the individual-level or firm-level) in the company you work for?

Recall that the social pillar addresses whether companies use fair labor practices, ensure employee safety and health, ensure quality in their products, maintain safe supply chain labor conditions, and support underprivileged communities that may be impacted by their activities.","What is the biggest barrier to increasing governmental pillar behaviors (either at the individual-level or firm-level) in the company you work for?

Recall that the governance pillar addresses whether companies consider the rights of all shareholders (including investors, employees, and impacted communities), ensure board diversity, control how executives are paid, and ensure the company avoids anti-competitive practices or corruption.","Which transportation industry-sub group(s) does your company fall into? 
(select all that apply, if any) - Selected Choice","Which transportation industry-sub group(s) does your company fall into? 
(select all that apply, if any) - Other (please describe) - Text",Which of the following reflects the size of your transportation firm? - Selected Choice,Which of the following reflects the size of your transportation firm? - Other - Text,Approximately how many employees work at your organization?,Which of the following best describes your role within the organization? - Selected Choice,Which of the following best describes your role within the organization? - Other (please describe) - Text,How many years have you been working in the transportation industry?,What is the highest level of education you have completed?,What was your total household income before taxes during the past 12 months?,Please indicate your age:,"Are you of Spanish, Hispanic, or Latino origin?",Choose one or more races that you consider yourself to be,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,Here is a 7-point scale on which the political views that people might hold are arranged from extremely liberal (left) to extremely conservative (right). Where would you place yourself on this scale? - Extremely Liberal
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID37_FIRST_CLICK""}","{""ImportId"":""QID37_LAST_CLICK""}","{""ImportId"":""QID37_PAGE_SUBMIT""}","{""ImportId"":""QID37_CLICK_COUNT""}","{""ImportId"":""QID64_FIRST_CLICK""}","{""ImportId"":""QID64_LAST_CLICK""}","{""ImportId"":""QID64_PAGE_SUBMIT""}","{""ImportId"":""QID64_CLICK_COUNT""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID70""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID71""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID72""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID58""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_10_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_6_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_7_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID15""}","{""ImportId"":""QID19""}","{""ImportId"":""QID6""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_4_TEXT""}","{""ImportId"":""QID1215631120_1""}"
2024-02-15 06:51:27,2024-02-15 06:58:41,TRUE,2024-02-15 06:58:42,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,6.288,0,0,0,4.231,0,0,0,3.635,0,Environmental,I sometimes perceive,I rarely perceive,I sometimes perceive,I often perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I often perceive,I sometimes perceive,I often perceive,I often perceive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"I think it is that big changes are difficult and expensive.  The company puts out an annual report to get to their climate goals but they seems small and incremental.  They would have to make huge investments and change of manufacturing, transport, buildings in order to make big changes.","Again, I think it comes down to cost.  My company does a good job at this but when they invest more into social aspects, it takes away from company operating dollars.",The biggest barrier to this is just a small leadership team.  There are not many outside voices or change in leadership.,"Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).",,Publicly Traded Corporation,,"1,000 or more employees",Individual Contributor,,5-10 years,Bachelor’s degree,"$75,000-$99,999",25-34 years old,No,White or Caucasian,Male,,2.31
2024-02-15 07:06:40,2024-02-15 07:11:45,TRUE,2024-02-15 07:11:46,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,6.741,0,0,0,6.886,0,0,0,9.174,0,Environmental,I rarely perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I rarely perceive,I rarely perceive,I never perceive,I often perceive,I never perceive,I rarely perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I rarely perceive,I sometimes perceive,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Recycling all waste in the workplace and on the job site,"Fair practices, employee training and benefits",Multi level supervision across the company,"Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).",,Small-Medium Private Enterprise,,20 to 49 employees,Employee not on management track,,1-2 years,"Some college, but no degree","$75,000-$99,999",25-34 years old,Yes,White or Caucasian,Male,,4.58
2024-02-15 07:00:53,2024-02-15 07:15:35,TRUE,2024-02-15 07:15:36,anonymous,EN,I confirm that I have read the information above and consent to participate,1.499,73.429,323.57,9,0,0,4.596,0,0,0,3.843,0,Environmental,I often perceive,I sometimes perceive,I sometimes perceive,I often perceive,I often perceive,I often perceive,I sometimes perceive,I often perceive,I often perceive,I sometimes perceive,I rarely perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I sometimes perceive,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Companies need machines to produce certain products. However some of the machines that are need cause pollution.,"The biggest barrier is actually the workers. A company can give you all of the safety tools and equipment but some workers still don't follow them fully.
",The biggest barrier to me would be the amount of money the company actually generates.,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,,Sole Proprietorship or Freelancer,,1 to 4 employees,CEO or senior leader,,3-5 years,High school diploma or GED,"$25,000-$49,999",35-44 years old,No,Black or African American,Male,,4.43
2024-02-15 07:08:48,2024-02-15 07:17:14,TRUE,2024-02-15 07:17:15,anonymous,EN,I confirm that I have read the information above and consent to participate,2.328,4.141,6.259,4,9.007,10.183,11.295,3,8.796,9.198,10.327,2,Environmental,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,I always perceive,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Finding the right materials can be a big barrier. This could also lead to lower quality products and services.,The biggest barrier is making sure everyone gets equal treatment. Some groups may feel they are getting less than others.,Making sure everyone involved gets what they are promised.,"Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).,Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).",,Publicly Traded Corporation,,"1,000 or more employees",Director or Manager,,10-20 years,High school diploma or GED,"$75,000-$99,999",25-34 years old,No,Black or African American,Male,,4
2024-02-15 07:12:48,2024-02-15 07:23:48,TRUE,2024-02-15 07:23:49,anonymous,EN,I confirm that I have read the information above and consent to participate,3.675,9.268,16.201,5,0,0,8.178,0,0,0,7.451,0,Environmental,I sometimes perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I often perceive,I rarely perceive,I rarely perceive,I often perceive,I rarely perceive,I sometimes perceive,I often perceive,I always perceive,I often perceive,I sometimes perceive,I often perceive,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,The company is too worried about the costs related to environmental pillar behaviors. There is also not enough government regulations that will force the company to make these changes. The company would rather have negative environmental impacts than spend extra funds reducing three impacts. The company is more worried about the bottom line of making profits.,Employee safety is important in the company but there could be some improvements mostly when working around higher risk environment. Labor conditions can also be harsh and no effort to improve these conditions.,There appears to be corruption in many companies including the one I work for. The company is ran by one family and does not really let outsiders have a share of the company.,"Highways & Railroad Infrastructure — Owners and operators of roads, tunnels, and railtracks.",,Small-Medium Private Enterprise,,250 to 499 employees,Employee not on management track,,less than 1 year,Bachelor’s degree,"$100,000-$149,999",25-34 years old,No,White or Caucasian,Male,,4.04
2024-02-15 07:14:06,2024-02-15 07:24:00,TRUE,2024-02-15 07:24:01,anonymous,EN,I confirm that I have read the information above and consent to participate,7.088,7.088,19.396,1,0,0,7.132,0,0,0,18.583,0,Environmental,I often perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I often perceive,I sometimes perceive,I sometimes perceive,I sometimes perceive,I rarely perceive,I often perceive,I often perceive,I sometimes perceive,I rarely perceive,I often perceive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"My company for years has eliminated Styrofoam cups, uses recyclable packaging, and has green initiatives.","The company I work for is very large, so there can be some opportunities where maybe something slips through that was not addressed in the social pillar behavior.","The board of my company is international so they are very diverse. However, the barriers are still stakeholder driven it feels like","Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).",,Publicly Traded Corporation,,"1,000 or more employees",Director or Manager,,Over 20 years,High school diploma or GED,"$75,000-$99,999",45-54 years old,No,White or Caucasian,Male,,3.1
2024-02-15 07:20:26,2024-02-15 07:27:16,TRUE,2024-02-15 07:27:16,anonymous,EN,I confirm that I have read the information above and consent to participate,0,0,13.49,0,0,0,6.668,0,0,0,10.001,0,Environmental,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I never perceive,I rarely perceive,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,Money. It is all about money. It just comes to spending.,Just wasting time. The company can do what they want.,It is just about taxes and making money,"Air Freight & Logistics — Companies providing air freight transportation, courier, and logistics services (including package and mail delivery and customs agents).,Passenger Ground Transportation — Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics.",,Publicly Traded Corporation,,"1,000 or more employees",Individual Contributor,,3-5 years,Associates or technical degree,"$25,000-$49,999",35-44 years old,No,White or Caucasian,Male,,4.69
2024-02-15 07:11:58,2024-02-15 07:27:28,TRUE,2024-02-15 07:27:29,anonymous,EN,I confirm that I have read the information above and consent to participate,8.226,8.226,10.184,1,0,0,3.698,0,0,0,3.304,0,Environmental,I rarely perceive,I rarely perceive,I rarely perceive,I rarely perceive,I sometimes perceive,I rarely perceive,I sometimes perceive,I always perceive,I always perceive,I often perceive,I sometimes perceive,I rarely perceive,I sometimes perceive,I rarely perceive,I often perceive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,"I think the biggest barrier is money. I think that it would take a lot of money for my company to switch to more environmentally friendly equipment, such as electric vehicles.",I think that the company does not focus more on promoting women to work here more.,I think my company could maybe implement things like classes and lessons to ensure that governmental pillar behaviors are met. ,"Cargo Ground Transportation — Companies providing ground transportation services for goods and freight (including freight trucking).,Passenger Ground Transportation — Companies providing passenger ground transportation and related services, including bus, taxi, vehicle rental, ride sharing and on-demand ride sharing platforms, and other passenger logistics.",,Publicly Traded Corporation,,"1,000 or more employees",Employee not on management track,,3-5 years,Associates or technical degree,"$50,000-$74,999",25-34 years old,No,Black or African American,Female,,4.85
